race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0555 (0.0522-0.0588),0.0035 (0.0022-0.0049),0.0266 (0.0239-0.0294),0.9144 (0.9101-0.9187)
BVAP,0.0347 (0.0278-0.0425),0.0287 (0.0232-0.0344),0.0407 (0.0332-0.0482),0.8959 (0.8847-0.907)
HVAP,0.0217 (0.0087-0.0441),0.0481 (0.0228-0.0811),0.0311 (0.0123-0.0636),0.8991 (0.847-0.9397)
OVAP,0.0243 (0.0092-0.0509),0.0311 (0.0177-0.0476),0.0254 (0.0066-0.0519),0.9193 (0.8836-0.9499)
