race,PRES12D,PRES12R,PRES12None
WVAP,0.195 (0.1814-0.2088),0.2896 (0.2864-0.2924),0.5154 (0.5016-0.529)
OVAP,0.3949 (0.3683-0.4205),0.0064 (0.0035-0.0107),0.5987 (0.5728-0.6251)
