race,GOV14D,GOV14R,GOV14None
WVAP,0.0818 (0.0709-0.0915),0.2746 (0.2668-0.2808),0.6436 (0.6318-0.6576)
BVAP,0.2333 (0.2082-0.2587),0.0088 (0.0047-0.0148),0.7579 (0.732-0.7827)
HVAP,0.0583 (0.018-0.1201),0.0423 (0.0152-0.0858),0.8994 (0.8257-0.9496)
OVAP,0.1 (0.0254-0.2206),0.0401 (0.0127-0.0845),0.8599 (0.7262-0.9482)
