race,COMP14D,COMP14R,COMP14None
WVAP,0.1919 (0.1806-0.2034),0.1694 (0.1664-0.172),0.6388 (0.6273-0.6501)
OVAP,0.1971 (0.1734-0.2211),0.0085 (0.0047-0.0138),0.7944 (0.7695-0.8176)
