race,SEN16D,SEN16R,SEN16None
WVAP,0.156 (0.1442-0.1674),0.237 (0.2338-0.2399),0.607 (0.5952-0.619)
OVAP,0.2493 (0.2273-0.2737),0.0068 (0.0037-0.0113),0.7439 (0.7185-0.7658)
