race,GOV14D,GOV14R,GOV14None
WVAP,0.0712 (0.0625-0.0807),0.2825 (0.2779-0.2862),0.6463 (0.6364-0.656)
OVAP,0.2083 (0.1883-0.2277),0.0086 (0.0049-0.014),0.7831 (0.7627-0.8036)
