race,COMP18D,COMP18R,COMP18None
WVAP,0.2248 (0.2114-0.2371),0.1295 (0.124-0.1344),0.6457 (0.6323-0.66)
BVAP,0.2466 (0.219-0.2736),0.0074 (0.004-0.0123),0.746 (0.7186-0.774)
HVAP,0.0725 (0.0278-0.1463),0.0414 (0.013-0.0838),0.8861 (0.7977-0.9451)
OVAP,0.1379 (0.0498-0.264),0.0372 (0.0131-0.076),0.8249 (0.6884-0.9174)
