race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0272 (0.0247-0.0297),0.0131 (0.0116-0.0147),0.0079 (0.0066-0.0093),0.0025 (0.0019-0.0032),0.0103 (0.0088-0.0119),0.9389 (0.9353-0.9424)
BVAP,0.0546 (0.0473-0.0619),0.0161 (0.0122-0.0204),0.004 (0.0023-0.0064),0.0023 (0.0014-0.0036),0.0203 (0.016-0.0248),0.9026 (0.8927-0.9123)
HVAP,0.0135 (0.0039-0.0292),0.016 (0.0064-0.031),0.0141 (0.005-0.0285),0.0091 (0.0037-0.0165),0.0137 (0.0052-0.0272),0.9336 (0.9058-0.9577)
OVAP,0.0281 (0.0117-0.052),0.0169 (0.0064-0.0307),0.0351 (0.0218-0.0504),0.0165 (0.0096-0.0241),0.0217 (0.0068-0.0383),0.8817 (0.8486-0.9122)
