race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0252 (0.0229-0.0275),0.0137 (0.0122-0.0152),0.0105 (0.0093-0.0117),0.0038 (0.0031-0.0046),0.0106 (0.0093-0.0119),0.9362 (0.933-0.9394)
OVAP,0.0485 (0.0431-0.0539),0.015 (0.012-0.0184),0.0065 (0.0043-0.0088),0.0035 (0.0022-0.0051),0.0192 (0.0162-0.0225),0.9073 (0.8999-0.9143)
