race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.035 (0.0319-0.0382),0.0011 (0.0006-0.0018),0.9639 (0.9606-0.967)
BVAP,0.0775 (0.0678-0.0874),0.0146 (0.0115-0.0177),0.9079 (0.8978-0.9182)
HVAP,0.0299 (0.0099-0.0614),0.0172 (0.0077-0.0309),0.9529 (0.9203-0.9779)
OVAP,0.0261 (0.01-0.0528),0.0114 (0.0061-0.0176),0.9625 (0.9353-0.9796)
