race,COMP18D,COMP18R,COMP18None
WVAP,0.216 (0.2039-0.2279),0.1367 (0.1337-0.1394),0.6473 (0.6351-0.6594)
OVAP,0.2229 (0.1983-0.2473),0.008 (0.0044-0.0132),0.769 (0.7443-0.7932)
