race,AG18D,AG18R,AG18None
WVAP,0.157 (0.1452-0.1687),0.1911 (0.1878-0.1939),0.6519 (0.6399-0.664)
OVAP,0.2415 (0.2181-0.2651),0.0076 (0.0042-0.0125),0.7509 (0.7269-0.7746)
