race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.015 (0.0124-0.0176),0.0365 (0.0339-0.0389),0.0343 (0.0315-0.037),0.9142 (0.9097-0.9186)
BVAP,0.0768 (0.0678-0.086),0.0151 (0.0103-0.0202),0.0141 (0.0093-0.0195),0.894 (0.8829-0.905)
HVAP,0.019 (0.0065-0.0404),0.0225 (0.0085-0.0465),0.025 (0.0086-0.0503),0.9335 (0.8949-0.9629)
OVAP,0.0339 (0.0129-0.0657),0.0195 (0.0072-0.0388),0.0309 (0.0103-0.058),0.9157 (0.8748-0.951)
