race,COMP14D,COMP14R,COMP14None
WVAP,0.2023 (0.1905-0.2143),0.1625 (0.1568-0.1671),0.6353 (0.6228-0.6482)
BVAP,0.2233 (0.196-0.2502),0.0081 (0.0044-0.0135),0.7686 (0.7416-0.7953)
HVAP,0.0602 (0.0182-0.1333),0.0397 (0.0126-0.0839),0.9001 (0.8102-0.9535)
OVAP,0.0776 (0.0167-0.1632),0.0345 (0.0137-0.0681),0.8879 (0.791-0.9575)
