race,SEN18D,SEN18R,SEN18None
WVAP,0.1624 (0.1508-0.1749),0.1594 (0.1566-0.1618),0.6782 (0.6655-0.6897)
OVAP,0.2387 (0.2147-0.2638),0.0072 (0.004-0.012),0.7541 (0.7283-0.7783)
