race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0555 (0.0523-0.0588),0.0038 (0.0026-0.0051),0.0257 (0.023-0.0285),0.915 (0.9107-0.9193)
OVAP,0.0314 (0.0261-0.0372),0.0314 (0.0277-0.0349),0.0383 (0.0327-0.0445),0.8989 (0.89-0.9075)
