race,PRES16D,PRES16R,PRES16None
WVAP,0.1537 (0.1422-0.1658),0.2251 (0.2219-0.2277),0.6212 (0.609-0.6329)
OVAP,0.2538 (0.2306-0.276),0.0067 (0.0036-0.0111),0.7396 (0.7163-0.763)
