race,SEN18D,SEN18R,SEN18None
WVAP,0.1737 (0.1611-0.1859),0.1542 (0.1498-0.1579),0.6721 (0.6592-0.6855)
BVAP,0.2592 (0.231-0.2862),0.0071 (0.0038-0.012),0.7337 (0.7063-0.7625)
HVAP,0.0809 (0.0284-0.1613),0.0289 (0.0084-0.0627),0.8902 (0.8033-0.9549)
OVAP,0.1439 (0.0643-0.2519),0.0281 (0.0099-0.0557),0.828 (0.7167-0.9139)
