race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0995 (0.0931-0.1053),0.0147 (0.0107-0.0196),0.8858 (0.8785-0.8935)
BVAP,0.0499 (0.0391-0.0619),0.1388 (0.1231-0.1546),0.8113 (0.7924-0.8297)
HVAP,0.0407 (0.014-0.0885),0.0606 (0.023-0.1102),0.8987 (0.8242-0.95)
OVAP,0.0541 (0.0219-0.1072),0.1299 (0.0687-0.1893),0.8161 (0.7393-0.8859)
