race,GOV18D,GOV18R,GOV18None
WVAP,0.0668 (0.0581-0.075),0.291 (0.2815-0.2996),0.6423 (0.6311-0.6538)
OVAP,0.2143 (0.196-0.2334),0.032 (0.0225-0.0432),0.7537 (0.7327-0.773)
