race,PRES16D,PRES16R,PRES16None
WVAP,0.2304 (0.1836-0.2794),0.4021 (0.3522-0.4441),0.3675 (0.3358-0.3895)
BVAP,0.494 (0.2185-0.7506),0.3466 (0.1128-0.6318),0.1594 (0.0433-0.3333)
HVAP,0.4188 (0.1542-0.721),0.43 (0.1426-0.7117),0.1512 (0.0347-0.3281)
OVAP,0.4343 (0.141-0.7249),0.4263 (0.1529-0.7226),0.1394 (0.0359-0.306)
