race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0495 (0.0343-0.0643),0.0134 (0.0053-0.024),0.9371 (0.9196-0.9547)
BVAP,0.1245 (0.0446-0.2126),0.1254 (0.0624-0.1952),0.7501 (0.643-0.8515)
HVAP,0.2936 (0.0853-0.553),0.3222 (0.1107-0.5932),0.3842 (0.1168-0.6594)
OVAP,0.2822 (0.083-0.5194),0.3606 (0.1553-0.5903),0.3573 (0.1428-0.6176)
