race,SEN16D,SEN16R,SEN16None
WVAP,0.2242 (0.1694-0.2945),0.3911 (0.3198-0.4429),0.3847 (0.3493-0.4074)
OVAP,0.5264 (0.2305-0.7541),0.3566 (0.1407-0.6561),0.1171 (0.0258-0.2562)
