race,COMP14D,COMP14R,COMP14None
WVAP,0.1877 (0.1432-0.2299),0.2994 (0.2548-0.3311),0.5128 (0.4603-0.5687)
OVAP,0.2724 (0.1-0.4631),0.1963 (0.0656-0.3895),0.5313 (0.2994-0.7515)
