race,GOV18D,GOV18R,GOV18None
WVAP,0.0846 (0.048-0.1317),0.4952 (0.443-0.5351),0.4201 (0.3694-0.4677)
OVAP,0.3826 (0.1808-0.5417),0.2501 (0.0871-0.4687),0.3673 (0.1722-0.5806)
