race,SEN18D,SEN18R,SEN18None
WVAP,0.2475 (0.1913-0.293),0.3224 (0.2738-0.3582),0.4301 (0.3776-0.4877)
OVAP,0.3375 (0.1491-0.5735),0.2133 (0.0663-0.4216),0.4492 (0.2074-0.6671)
