race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0138 (0.0048-0.0269),0.002 (0.0004-0.0049),0.9842 (0.9706-0.9935)
OVAP,0.1395 (0.0775-0.183),0.0411 (0.0291-0.0493),0.8194 (0.7741-0.8823)
