race,COMP18D,COMP18R,COMP18None
WVAP,0.3015 (0.2601-0.3357),0.2728 (0.2359-0.3041),0.4257 (0.3849-0.4678)
BVAP,0.3008 (0.1127-0.529),0.2328 (0.0765-0.4262),0.4664 (0.2324-0.6979)
HVAP,0.3281 (0.1005-0.593),0.3411 (0.1148-0.6272),0.3308 (0.1021-0.6019)
OVAP,0.3518 (0.1121-0.6341),0.3279 (0.0821-0.6042),0.3203 (0.1005-0.5988)
