race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0194 (0.0096-0.0314),0.003 (0.0008-0.0066),0.0132 (0.005-0.0239),0.9644 (0.949-0.978)
OVAP,0.0965 (0.0441-0.1423),0.0495 (0.0337-0.0612),0.1002 (0.0524-0.1388),0.7538 (0.6911-0.822)
