race,GOV14D,GOV14R,GOV14None
WVAP,0.1118 (0.0721-0.1533),0.3769 (0.3328-0.4096),0.5113 (0.4628-0.5663)
OVAP,0.2939 (0.1183-0.4646),0.2055 (0.0713-0.3859),0.5007 (0.2746-0.7032)
