race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0154 (0.0071-0.0263),0.0101 (0.0047-0.0165),0.0027 (0.001-0.0055),0.9718 (0.9596-0.9822)
BVAP,0.1142 (0.0526-0.1801),0.0545 (0.0194-0.0974),0.0242 (0.0079-0.0488),0.8071 (0.7303-0.8786)
HVAP,0.2067 (0.0673-0.3957),0.1599 (0.0582-0.2958),0.1849 (0.0605-0.3317),0.4485 (0.2404-0.6515)
OVAP,0.2376 (0.0778-0.4338),0.1861 (0.0615-0.3442),0.1849 (0.0695-0.2944),0.3914 (0.1825-0.5997)
