race,PRES16D,PRES16R,PRES16None
WVAP,0.2153 (0.1609-0.2866),0.4099 (0.3374-0.4632),0.3748 (0.3407-0.3977)
OVAP,0.5404 (0.2421-0.7706),0.3367 (0.1129-0.6458),0.1228 (0.0345-0.2583)
