race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0104 (0.0059-0.0163),0.0009 (0.0002-0.0018),0.0023 (0.0009-0.0042),0.0009 (0.0003-0.0017),0.0115 (0.0059-0.0184),0.974 (0.9651-0.9814)
BVAP,0.0525 (0.0189-0.0931),0.0085 (0.0022-0.0174),0.0175 (0.0047-0.0353),0.0084 (0.0025-0.0166),0.0643 (0.0261-0.1067),0.8488 (0.7928-0.9017)
HVAP,0.2132 (0.0734-0.3842),0.0713 (0.025-0.1231),0.1192 (0.0401-0.2188),0.0591 (0.018-0.1095),0.1558 (0.0398-0.3034),0.3814 (0.1997-0.5859)
OVAP,0.2042 (0.0735-0.3513),0.0518 (0.0193-0.0898),0.1144 (0.0392-0.1873),0.0455 (0.0143-0.0812),0.1912 (0.0577-0.3394),0.3929 (0.211-0.5719)
