race,PRES12D,PRES12R,PRES12None
WVAP,0.3172 (0.2572-0.3657),0.407 (0.3632-0.4382),0.2758 (0.2217-0.3385)
OVAP,0.2999 (0.0992-0.5519),0.179 (0.0491-0.3675),0.5211 (0.2541-0.7496)
