race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0089 (0.0039-0.0167),0.0015 (0.0003-0.0033),0.9896 (0.9817-0.9949)
BVAP,0.0944 (0.0431-0.1497),0.0247 (0.0094-0.0412),0.8809 (0.823-0.9351)
HVAP,0.2551 (0.0789-0.4815),0.1052 (0.035-0.1917),0.6397 (0.4032-0.8296)
OVAP,0.3642 (0.1151-0.5713),0.0798 (0.027-0.1484),0.556 (0.3473-0.8158)
