race,AG18D,AG18R,AG18None
WVAP,0.2382 (0.1878-0.2854),0.3465 (0.2903-0.3858),0.4153 (0.3619-0.4665)
OVAP,0.3295 (0.1339-0.5396),0.2485 (0.084-0.4792),0.422 (0.2117-0.6461)
