race,AG14D,AG14R,AG14None
WVAP,0.1474 (0.111-0.181),0.2883 (0.2566-0.3152),0.5643 (0.5255-0.6117)
BVAP,0.2821 (0.1062-0.483),0.1982 (0.0661-0.377),0.5197 (0.2693-0.7373)
HVAP,0.3444 (0.1244-0.6253),0.3194 (0.0917-0.5741),0.3362 (0.1102-0.618)
OVAP,0.349 (0.0989-0.6266),0.3294 (0.0992-0.6121),0.3216 (0.0894-0.6266)
