race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.016 (0.0084-0.0236),0.0015 (0.0004-0.0032),0.0044 (0.0017-0.008),0.0015 (0.0005-0.0029),0.0163 (0.0087-0.0255),0.9603 (0.9468-0.9715)
OVAP,0.0729 (0.0398-0.1082),0.0208 (0.013-0.027),0.0372 (0.0202-0.0507),0.018 (0.0113-0.0237),0.0758 (0.0359-0.1105),0.7753 (0.7234-0.834)
