race,SEN12D,SEN12R,SEN12None
WVAP,0.2479 (0.1938-0.2986),0.2873 (0.249-0.3139),0.4648 (0.4102-0.5283)
OVAP,0.3336 (0.124-0.5613),0.1559 (0.0467-0.3188),0.5105 (0.2481-0.7419)
