race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.02 (0.0083-0.034),0.0144 (0.0067-0.0234),0.0056 (0.0018-0.0113),0.9601 (0.9409-0.9762)
OVAP,0.1266 (0.0652-0.1804),0.0707 (0.0306-0.107),0.0592 (0.0323-0.0789),0.7435 (0.669-0.8287)
