race,AG14D,AG14R,AG14None
WVAP,0.1526 (0.1095-0.1944),0.3005 (0.2587-0.3321),0.5469 (0.4987-0.5986)
OVAP,0.2798 (0.1054-0.4613),0.1832 (0.0497-0.3601),0.537 (0.3211-0.7376)
