race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0578 (0.0388-0.0762),0.0206 (0.007-0.0393),0.9215 (0.8932-0.9464)
OVAP,0.1358 (0.0565-0.2215),0.1581 (0.0764-0.2216),0.7062 (0.5947-0.8296)
