race,COMP14D,COMP14R,COMP14None
WVAP,0.1817 (0.1406-0.2171),0.2904 (0.2563-0.3168),0.528 (0.4845-0.5754)
BVAP,0.2816 (0.1025-0.5087),0.1926 (0.0608-0.3838),0.5258 (0.2663-0.7522)
HVAP,0.3382 (0.1054-0.6128),0.3257 (0.1138-0.582),0.336 (0.1169-0.6012)
OVAP,0.3365 (0.0951-0.6265),0.3456 (0.1274-0.6126),0.3179 (0.0747-0.6329)
