race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0138 (0.007-0.0219),0.0017 (0.0004-0.0037),0.0089 (0.0035-0.0161),0.9756 (0.9652-0.9848)
BVAP,0.0755 (0.0286-0.1276),0.0229 (0.0066-0.0441),0.0746 (0.0329-0.1229),0.827 (0.7604-0.8909)
HVAP,0.2077 (0.0625-0.383),0.1618 (0.0681-0.2755),0.1913 (0.0618-0.3649),0.4393 (0.2247-0.6489)
OVAP,0.2492 (0.0847-0.4359),0.1138 (0.0407-0.1982),0.2509 (0.0915-0.426),0.386 (0.1841-0.609)
