race,COMP18D,COMP18R,COMP18None
WVAP,0.3049 (0.2514-0.3486),0.2803 (0.2339-0.3181),0.4148 (0.3609-0.4732)
OVAP,0.2985 (0.1157-0.5221),0.2307 (0.0728-0.4266),0.4707 (0.2239-0.6934)
