,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
99,Howard,1720,Howard Precinct 04-003,1518,97,6,202,1720,1,0.8825581395348837,0.11744186046511627,1617,0.0563953488372093,0.0034883720930232558,0.9401162790697675
129,Howard,1498,Howard Precinct 04-001,1349,65,3,149,1498,1,0.9005340453938585,0.09946595460614152,1430,0.043391188251001335,0.0020026702269692926,0.9546061415220294
131,Howard,1440,Howard Precinct 04-005,1280,77,7,160,1440,1,0.8888888888888888,0.1111111111111111,1356,0.05347222222222222,0.004861111111111111,0.9416666666666667
688,Howard,1703,Howard Precinct 06-007,920,115,9,783,1703,1,0.540223135642983,0.45977686435701703,1579,0.06752789195537287,0.005284791544333529,0.9271873165002936
689,Howard,3903,Howard Precinct 06-029,1974,346,27,1929,3903,1,0.5057647963105304,0.49423520368946966,3530,0.08864975659748911,0.006917755572636433,0.9044324878298745
690,Howard,1011,Howard Precinct 06-030,438,78,7,573,1011,1,0.4332344213649852,0.5667655786350149,926,0.0771513353115727,0.006923837784371909,0.9159248269040554
691,Howard,2972,Howard Precinct 01-006,1817,105,6,1155,2972,1,0.6113728129205922,0.3886271870794078,2861,0.03532974427994617,0.002018842530282638,0.9626514131897712
694,Howard,4044,Howard Precinct 01-015,1543,149,10,2501,4044,1,0.3815529179030663,0.6184470820969338,3885,0.03684470820969337,0.002472799208704253,0.9606824925816023
926,Howard,2116,Howard Precinct 04-004,1753,109,4,363,2116,1,0.8284499054820416,0.1715500945179584,2003,0.05151228733459357,0.001890359168241966,0.9465973534971645
930,Howard,2206,Howard Precinct 03-002,1871,131,8,335,2206,1,0.8481414324569356,0.15185856754306437,2067,0.059383499546690845,0.003626473254759746,0.9369900271985494
942,Howard,3762,Howard Precinct 03-005,2617,196,10,1145,3762,1,0.6956406166932483,0.3043593833067517,3556,0.052099946836788945,0.002658160552897395,0.9452418926103137
1349,Howard,2057,Howard Precinct 02-008,1283,134,11,774,2057,1,0.6237238697131745,0.3762761302868255,1912,0.06514341273699563,0.0053475935828877,0.9295089936801166
1358,Howard,2252,Howard Precinct 01-008,1565,143,11,687,2252,1,0.6949378330373002,0.30506216696269983,2098,0.06349911190053285,0.004884547069271759,0.9316163410301954
1359,Howard,1598,Howard Precinct 01-013,988,67,8,610,1598,1,0.6182728410513142,0.38172715894868586,1523,0.041927409261576974,0.0050062578222778474,0.9530663329161452
1360,Howard,2627,Howard Precinct 01-001,2032,131,7,595,2627,1,0.7735059002664636,0.22649409973353635,2489,0.04986676817662733,0.0026646364674533687,0.9474685953559193
1409,Howard,1452,Howard Precinct 02-005,1077,124,7,375,1452,1,0.7417355371900827,0.25826446280991733,1321,0.08539944903581267,0.0048209366391184574,0.9097796143250688
1410,Howard,2087,Howard Precinct 02-015,1499,147,3,588,2087,1,0.7182558696693819,0.2817441303306181,1937,0.07043603258265453,0.0014374700527072352,0.9281264973646383
1411,Howard,2065,Howard Precinct 02-018,1679,128,5,386,2065,1,0.8130750605326876,0.18692493946731234,1932,0.06198547215496368,0.002421307506053269,0.9355932203389831
1412,Howard,2274,Howard Precinct 02-011,1600,122,6,674,2274,1,0.7036059806508356,0.2963940193491645,2146,0.05364995602462621,0.002638522427440633,0.9437115215479331
1413,Howard,1532,Howard Precinct 02-019,1154,81,1,378,1532,1,0.7532637075718016,0.24673629242819844,1450,0.05287206266318538,0.0006527415143603133,0.9464751958224543
1414,Howard,327,Howard Precinct 02-021,278,25,1,49,327,1,0.8501529051987767,0.14984709480122324,301,0.0764525993883792,0.0030581039755351682,0.9204892966360856
1415,Howard,2492,Howard Precinct 02-012,1768,163,8,724,2492,1,0.709470304975923,0.29052969502407705,2321,0.06540930979133226,0.0032102728731942215,0.9313804173354735
1416,Howard,1902,Howard Precinct 02-006,1286,142,14,616,1902,1,0.676130389064143,0.323869610935857,1746,0.07465825446898001,0.007360672975814932,0.917981072555205
1417,Howard,4633,Howard Precinct 02-009,1730,170,15,2903,4633,1,0.37340815886034967,0.6265918411396504,4448,0.03669328728685517,0.0032376429958989855,0.9600690697172458
1418,Howard,1313,Howard Precinct 02-024,1031,89,5,282,1313,1,0.7852246763137852,0.21477532368621477,1219,0.06778370144706779,0.003808073115003808,0.9284082254379284
1419,Howard,1532,Howard Precinct 02-007,1267,103,4,265,1532,1,0.827023498694517,0.17297650130548303,1425,0.06723237597911227,0.0026109660574412533,0.9301566579634465
1496,Howard,2112,Howard Precinct 05-011,1724,137,9,388,2112,1,0.8162878787878788,0.18371212121212122,1966,0.06486742424242424,0.004261363636363636,0.9308712121212122
1497,Howard,1558,Howard Precinct 05-020,1249,101,6,309,1558,1,0.8016688061617459,0.19833119383825418,1451,0.06482670089858793,0.0038510911424903724,0.9313222079589217
1498,Howard,1752,Howard Precinct 04-006,1451,96,5,301,1752,1,0.8281963470319634,0.17180365296803654,1651,0.0547945205479452,0.0028538812785388126,0.942351598173516
1499,Howard,1427,Howard Precinct 04-002,1273,90,4,154,1427,1,0.8920812894183602,0.1079187105816398,1333,0.06306937631394534,0.002803083391730904,0.9341275402943238
1500,Howard,2228,Howard Precinct 05-019,1846,140,7,382,2228,1,0.8285457809694794,0.17145421903052063,2081,0.06283662477558348,0.0031418312387791743,0.9340215439856373
