,COUNTY,VAP,NAME,WVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
100,Frederick,3630,Frederick Precinct 14-001,3427,339,99,203,3630,1,0.9440771349862259,0.0559228650137741,3192,0.09338842975206611,0.02727272727272727,0.8793388429752066
101,Frederick,2062,Frederick Precinct 03-001,1930,202,62,132,2062,1,0.9359844810863239,0.06401551891367604,1798,0.0979631425800194,0.030067895247332686,0.871968962172648
102,Frederick,4117,Frederick Precinct 23-001,3207,449,212,910,4117,1,0.7789652659703667,0.22103473402963322,3456,0.10905999514209376,0.051493806169540926,0.8394461986883653
103,Frederick,674,Frederick Precinct 24-003,646,96,26,28,674,1,0.9584569732937686,0.04154302670623145,552,0.142433234421365,0.03857566765578635,0.8189910979228486
104,Frederick,2134,Frederick Precinct 03-003,1924,226,64,210,2134,1,0.901593252108716,0.09840674789128398,1844,0.10590440487347703,0.02999062792877226,0.8641049671977507
105,Frederick,1667,Frederick Precinct 24-001,1533,243,54,134,1667,1,0.9196160767846431,0.08038392321535692,1370,0.14577084583083383,0.03239352129574085,0.8218356328734253
106,Frederick,3265,Frederick Precinct 02-015,2683,461,158,582,3265,1,0.8217457886676875,0.1782542113323124,2646,0.14119448698315468,0.04839203675344564,0.8104134762633997
107,Frederick,3578,Frederick Precinct 26-001,3149,407,126,429,3578,1,0.8801006148686417,0.1198993851313583,3045,0.11375069871436556,0.03521520402459474,0.8510340972610397
112,Frederick,1799,Frederick Precinct 10-001,1737,86,16,62,1799,1,0.9655364091161757,0.03446359088382435,1697,0.04780433574207893,0.008893829905503057,0.943301834352418
113,Frederick,2997,Frederick Precinct 15-001,2874,185,52,123,2997,1,0.958958958958959,0.04104104104104104,2760,0.06172839506172839,0.017350684017350685,0.9209209209209209
114,Frederick,3794,Frederick Precinct 15-002,3627,211,74,167,3794,1,0.955983131259884,0.04401686874011597,3509,0.05561412756984713,0.019504480759093307,0.9248813916710595
115,Frederick,1007,Frederick Precinct 04-001,964,45,19,43,1007,1,0.9572989076464746,0.04270109235352532,943,0.044687189672293945,0.018867924528301886,0.9364448857994042
116,Frederick,4025,Frederick Precinct 07-002,2268,439,188,1757,4025,1,0.5634782608695652,0.4365217391304348,3398,0.10906832298136646,0.04670807453416149,0.844223602484472
117,Frederick,2425,Frederick Precinct 09-001,2177,286,90,248,2425,1,0.8977319587628866,0.1022680412371134,2049,0.11793814432989691,0.03711340206185567,0.8449484536082474
118,Frederick,2868,Frederick Precinct 09-006,2447,321,109,421,2868,1,0.8532078103207811,0.14679218967921898,2438,0.11192468619246862,0.03800557880055788,0.8500697350069735
119,Frederick,3752,Frederick Precinct 13-001,3415,477,124,337,3752,1,0.910181236673774,0.08981876332622601,3151,0.1271321961620469,0.03304904051172708,0.839818763326226
120,Frederick,3625,Frederick Precinct 09-007,3267,428,131,358,3625,1,0.9012413793103449,0.09875862068965517,3066,0.11806896551724137,0.03613793103448276,0.8457931034482759
121,Frederick,3137,Frederick Precinct 09-004,2926,303,67,211,3137,1,0.932738284985655,0.06726171501434491,2767,0.09658909786420147,0.021357985336308574,0.8820529167994899
122,Frederick,3312,Frederick Precinct 09-002,3071,331,100,241,3312,1,0.9272342995169082,0.07276570048309179,2881,0.09993961352657005,0.030193236714975844,0.8698671497584541
123,Frederick,1427,Frederick Precinct 09-005,1331,151,31,96,1427,1,0.9327259985984583,0.0672740014015417,1245,0.10581639803784162,0.021723896285914507,0.8724597056762439
124,Frederick,3254,Frederick Precinct 26-002,2717,307,97,537,3254,1,0.8349723417332514,0.16502765826674862,2850,0.09434542102028273,0.029809465273509528,0.8758451137062078
125,Frederick,2580,Frederick Precinct 11-001,2415,183,42,165,2580,1,0.936046511627907,0.06395348837209303,2355,0.07093023255813953,0.01627906976744186,0.9127906976744186
126,Frederick,1877,Frederick Precinct 08-001,1780,163,36,97,1877,1,0.94832179009057,0.051678209909429944,1678,0.08684070324986681,0.019179541822056473,0.8939797549280767
127,Frederick,1703,Frederick Precinct 17-001,1646,115,30,57,1703,1,0.9665296535525543,0.03347034644744568,1558,0.06752789195537287,0.017615971814445096,0.914856136230182
128,Frederick,4393,Frederick Precinct 18-001,3975,320,83,418,4393,1,0.9048486228090143,0.09515137719098565,3990,0.07284315957204644,0.018893694513999543,0.9082631459139541
130,Frederick,2489,Frederick Precinct 18-002,2395,181,51,94,2489,1,0.9622338288469264,0.03776617115307352,2257,0.07271996785857775,0.020490156689433506,0.9067898754519887
133,Frederick,1309,Frederick Precinct 19-001,1228,103,26,81,1309,1,0.9381207028265852,0.061879297173414824,1180,0.07868601986249045,0.019862490450725745,0.9014514896867838
136,Frederick,1991,Frederick Precinct 24-002,1555,116,25,436,1991,1,0.7810145655449523,0.21898543445504773,1850,0.05826217980914113,0.012556504269211451,0.9291813159216474
137,Frederick,3176,Frederick Precinct 03-002,3012,386,104,164,3176,1,0.9483627204030227,0.05163727959697733,2686,0.12153652392947104,0.0327455919395466,0.8457178841309824
138,Frederick,3128,Frederick Precinct 16-001,2963,306,92,165,3128,1,0.9472506393861893,0.05274936061381074,2730,0.09782608695652174,0.029411764705882353,0.8727621483375959
139,Frederick,1661,Frederick Precinct 06-001,1618,130,28,43,1661,1,0.9741119807344973,0.02588801926550271,1503,0.07826610475617098,0.016857314870559904,0.9048765803732691
140,Frederick,2498,Frederick Precinct 21-001,2294,180,37,204,2498,1,0.9183346677341874,0.08166533226581266,2281,0.07205764611689351,0.014811849479583666,0.9131305044035228
141,Frederick,1672,Frederick Precinct 02-014,1157,182,79,515,1672,1,0.6919856459330144,0.30801435406698563,1411,0.10885167464114832,0.04724880382775119,0.8438995215311005
142,Frederick,2944,Frederick Precinct 02-006,2149,288,157,795,2944,1,0.7299592391304348,0.27004076086956524,2499,0.09782608695652174,0.05332880434782609,0.8488451086956522
143,Frederick,2897,Frederick Precinct 01-002,1883,326,177,1014,2897,1,0.64998274076631,0.35001725923369004,2394,0.11253020365895754,0.06109768726268554,0.8263721090783569
144,Frederick,2912,Frederick Precinct 02-016,1692,212,128,1220,2912,1,0.5810439560439561,0.41895604395604397,2572,0.07280219780219781,0.04395604395604396,0.8832417582417582
146,Frederick,92,Frederick Precinct 23-002,90,6,0,2,92,1,0.9782608695652174,0.021739130434782608,86,0.06521739130434782,0.0,0.9347826086956522
147,Frederick,2535,Frederick Precinct 02-017,1087,170,134,1448,2535,1,0.4287968441814596,0.5712031558185404,2231,0.0670611439842209,0.05285996055226824,0.8800788954635108
148,Frederick,5267,Frederick Precinct 02-008,2880,353,219,2387,5267,1,0.5468008353901652,0.45319916460983484,4695,0.06702107461553067,0.04157964685779381,0.8913992785266756
149,Frederick,4053,Frederick Precinct 02-013,2109,289,173,1944,4053,1,0.5203552923760177,0.47964470762398226,3591,0.07130520602023192,0.042684431285467554,0.8860103626943006
150,Frederick,3697,Frederick Precinct 02-001,2254,311,209,1443,3697,1,0.6096835271842034,0.39031647281579657,3177,0.08412226129294022,0.05653232350554504,0.8593454152015148
151,Frederick,1499,Frederick Precinct 02-002,1162,133,71,337,1499,1,0.7751834556370913,0.2248165443629086,1295,0.08872581721147432,0.047364909939959975,0.8639092728485657
152,Frederick,3655,Frederick Precinct 02-011,2395,266,137,1260,3655,1,0.655266757865937,0.3447332421340629,3252,0.07277701778385773,0.037482900136798905,0.8897400820793434
153,Frederick,1931,Frederick Precinct 07-004,1435,236,95,496,1931,1,0.7431382703262558,0.25686172967374415,1600,0.12221646815121699,0.04919730709476955,0.8285862247540134
154,Frederick,1452,Frederick Precinct 09-003,1268,46,23,184,1452,1,0.8732782369146006,0.12672176308539945,1383,0.03168044077134986,0.01584022038567493,0.9524793388429752
155,Frederick,3429,Frederick Precinct 02-003,2866,441,173,563,3429,1,0.8358121901428988,0.16418780985710119,2815,0.12860892388451445,0.05045202682997959,0.820939049285506
156,Frederick,3603,Frederick Precinct 02-007,2732,412,204,871,3603,1,0.7582570080488482,0.24174299195115181,2987,0.11434915348320844,0.05661948376353039,0.8290313627532612
157,Frederick,1560,Frederick Precinct 02-018,1056,168,83,504,1560,1,0.676923076923077,0.3230769230769231,1309,0.1076923076923077,0.0532051282051282,0.8391025641025641
158,Frederick,1203,Frederick Precinct 09-008,1049,157,45,154,1203,1,0.8719866999168745,0.12801330008312553,1001,0.13050706566916043,0.03740648379052369,0.8320864505403158
159,Frederick,584,Frederick Precinct 13-002,482,10,0,102,584,1,0.8253424657534246,0.17465753424657535,574,0.017123287671232876,0.0,0.9828767123287672
160,Frederick,1787,Frederick Precinct 21-002,1398,225,92,389,1787,1,0.7823167319529939,0.21768326804700616,1470,0.1259093452714046,0.0514829322887521,0.8226077224398433
161,Frederick,3099,Frederick Precinct 21-003,2373,167,44,726,3099,1,0.7657308809293321,0.23426911907066797,2888,0.05388835108099387,0.01419812842852533,0.9319135204904808
162,Frederick,4379,Frederick Precinct 02-010,2919,443,210,1460,4379,1,0.6665905457867093,0.3334094542132907,3726,0.1011646494633478,0.04795615437314455,0.8508791961635076
163,Frederick,2457,Frederick Precinct 20-001,2341,179,44,116,2457,1,0.9527879527879528,0.04721204721204721,2234,0.07285307285307285,0.01790801790801791,0.9092389092389093
165,Frederick,2373,Frederick Precinct 12-001,2028,258,88,345,2373,1,0.854614412136536,0.14538558786346398,2027,0.10872313527180784,0.03708386009270965,0.8541930046354825
166,Frederick,1222,Frederick Precinct 22-001,1156,158,29,66,1222,1,0.9459901800327333,0.054009819967266774,1035,0.12929623567921442,0.023731587561374796,0.8469721767594108
242,Frederick,3605,Frederick Precinct 25-001,3213,291,130,392,3605,1,0.8912621359223301,0.1087378640776699,3184,0.08072122052704576,0.036061026352288486,0.8832177531206657
352,Frederick,4356,Frederick Precinct 01-001,3809,293,114,547,4356,1,0.8744260789715336,0.12557392102846648,3949,0.06726354453627181,0.026170798898071626,0.9065656565656566
356,Frederick,2131,Frederick Precinct 07-001,1866,216,74,265,2131,1,0.8756452369779446,0.12435476302205538,1841,0.10136086344439231,0.034725480994838104,0.8639136555607696
395,Frederick,5452,Frederick Precinct 05-001,4981,303,83,471,5452,1,0.9136096845194424,0.08639031548055759,5066,0.05557593543653705,0.015223771093176816,0.9292002934702861
1397,Frederick,2241,Frederick Precinct 07-003,2023,245,77,218,2241,1,0.9027219991075413,0.09727800089245872,1919,0.10932619366354306,0.03435966086568496,0.856314145470772
1795,Frederick,4416,Frederick Precinct 02-005,3731,712,221,685,4416,1,0.8448822463768116,0.15511775362318841,3483,0.161231884057971,0.050045289855072464,0.7887228260869565
1796,Frederick,6484,Frederick Precinct 02-004,2621,383,241,3863,6484,1,0.4042257865515114,0.5957742134484886,5860,0.05906847624922887,0.03716841455891425,0.9037631091918569
