,COUNTY,VAP,NAME,WVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
115,Frederick,1007,Frederick Precinct 04-001,964,26,3,43,1007,1,0.9572989076464746,0.04270109235352532,978,0.025819265143992055,0.0029791459781529296,0.971201588877855
116,Frederick,4025,Frederick Precinct 07-002,2268,184,13,1757,4025,1,0.5634782608695652,0.4365217391304348,3828,0.045714285714285714,0.003229813664596273,0.951055900621118
117,Frederick,2425,Frederick Precinct 09-001,2177,121,2,248,2425,1,0.8977319587628866,0.1022680412371134,2302,0.04989690721649485,0.0008247422680412372,0.9492783505154639
118,Frederick,2868,Frederick Precinct 09-006,2447,164,4,421,2868,1,0.8532078103207811,0.14679218967921898,2700,0.05718270571827057,0.001394700139470014,0.9414225941422594
119,Frederick,3752,Frederick Precinct 13-001,3415,193,7,337,3752,1,0.910181236673774,0.08981876332622601,3552,0.05143923240938166,0.0018656716417910447,0.9466950959488273
120,Frederick,3625,Frederick Precinct 09-007,3267,195,6,358,3625,1,0.9012413793103449,0.09875862068965517,3424,0.05379310344827586,0.0016551724137931034,0.944551724137931
121,Frederick,3137,Frederick Precinct 09-004,2926,139,4,211,3137,1,0.932738284985655,0.06726171501434491,2994,0.044309850175326744,0.001275103602167676,0.9544150462225056
122,Frederick,3312,Frederick Precinct 09-002,3071,154,4,241,3312,1,0.9272342995169082,0.07276570048309179,3154,0.0464975845410628,0.0012077294685990338,0.9522946859903382
123,Frederick,1427,Frederick Precinct 09-005,1331,67,5,96,1427,1,0.9327259985984583,0.0672740014015417,1355,0.046951646811492644,0.00350385423966363,0.9495444989488437
124,Frederick,3254,Frederick Precinct 26-002,2717,138,3,537,3254,1,0.8349723417332514,0.16502765826674862,3113,0.04240934234787953,0.0009219422249539029,0.9566687154271666
125,Frederick,2580,Frederick Precinct 11-001,2415,94,3,165,2580,1,0.936046511627907,0.06395348837209303,2483,0.03643410852713178,0.0011627906976744186,0.9624031007751938
126,Frederick,1877,Frederick Precinct 08-001,1780,92,2,97,1877,1,0.94832179009057,0.051678209909429944,1783,0.049014384656366546,0.0010655301012253596,0.9499200852424081
127,Frederick,1703,Frederick Precinct 17-001,1646,54,2,57,1703,1,0.9665296535525543,0.03347034644744568,1647,0.031708749266001174,0.0011743981209630064,0.9671168526130358
128,Frederick,4393,Frederick Precinct 18-001,3975,156,4,418,4393,1,0.9048486228090143,0.09515137719098565,4233,0.035511040291372635,0.0009105394946505805,0.9635784202139768
130,Frederick,2489,Frederick Precinct 18-002,2395,81,4,94,2489,1,0.9622338288469264,0.03776617115307352,2404,0.0325431900361591,0.0016070711128967456,0.9658497388509442
133,Frederick,1309,Frederick Precinct 19-001,1228,48,1,81,1309,1,0.9381207028265852,0.061879297173414824,1260,0.03666921313980138,0.0007639419404125286,0.9625668449197861
136,Frederick,1991,Frederick Precinct 24-002,1555,75,3,436,1991,1,0.7810145655449523,0.21898543445504773,1913,0.03766951280763436,0.0015067805123053742,0.9608237066800602
137,Frederick,3176,Frederick Precinct 03-002,3012,191,5,164,3176,1,0.9483627204030227,0.05163727959697733,2980,0.06013853904282116,0.0015743073047858943,0.9382871536523929
138,Frederick,3128,Frederick Precinct 16-001,2963,186,7,165,3128,1,0.9472506393861893,0.05274936061381074,2935,0.05946291560102302,0.002237851662404092,0.9382992327365729
139,Frederick,1661,Frederick Precinct 06-001,1618,59,2,43,1661,1,0.9741119807344973,0.02588801926550271,1600,0.03552077062010837,0.0012040939193257074,0.963275135460566
140,Frederick,2498,Frederick Precinct 21-001,2294,118,3,204,2498,1,0.9183346677341874,0.08166533226581266,2377,0.04723779023218575,0.0012009607686148918,0.9515612489991994
141,Frederick,1672,Frederick Precinct 02-014,1157,82,5,515,1672,1,0.6919856459330144,0.30801435406698563,1585,0.04904306220095694,0.0029904306220095694,0.9479665071770335
142,Frederick,2944,Frederick Precinct 02-006,2149,189,5,795,2944,1,0.7299592391304348,0.27004076086956524,2750,0.06419836956521739,0.0016983695652173913,0.9341032608695652
143,Frederick,2897,Frederick Precinct 01-002,1883,118,6,1014,2897,1,0.64998274076631,0.35001725923369004,2773,0.04073179150845702,0.0020711080428028996,0.9571971004487401
144,Frederick,2912,Frederick Precinct 02-016,1692,117,7,1220,2912,1,0.5810439560439561,0.41895604395604397,2788,0.04017857142857143,0.002403846153846154,0.9574175824175825
146,Frederick,92,Frederick Precinct 23-002,90,2,0,2,92,1,0.9782608695652174,0.021739130434782608,90,0.021739130434782608,0.0,0.9782608695652174
147,Frederick,2535,Frederick Precinct 02-017,1087,98,11,1448,2535,1,0.4287968441814596,0.5712031558185404,2426,0.03865877712031558,0.004339250493096647,0.9570019723865878
148,Frederick,5267,Frederick Precinct 02-008,2880,223,16,2387,5267,1,0.5468008353901652,0.45319916460983484,5028,0.04233909246250237,0.003037782418834251,0.9546231251186634
149,Frederick,4053,Frederick Precinct 02-013,2109,179,17,1944,4053,1,0.5203552923760177,0.47964470762398226,3857,0.04416481618554157,0.004194423883543055,0.9516407599309153
150,Frederick,3697,Frederick Precinct 02-001,2254,148,9,1443,3697,1,0.6096835271842034,0.39031647281579657,3540,0.04003245875033811,0.002434406275358399,0.9575331349743035
151,Frederick,1499,Frederick Precinct 02-002,1162,77,2,337,1499,1,0.7751834556370913,0.2248165443629086,1420,0.0513675783855904,0.00133422281521014,0.9472981987991995
152,Frederick,3655,Frederick Precinct 02-011,2395,170,10,1260,3655,1,0.655266757865937,0.3447332421340629,3475,0.046511627906976744,0.0027359781121751026,0.9507523939808481
153,Frederick,1931,Frederick Precinct 07-004,1435,94,5,496,1931,1,0.7431382703262558,0.25686172967374415,1832,0.04867944070429829,0.002589331952356292,0.9487312273433454
154,Frederick,1452,Frederick Precinct 09-003,1268,63,3,184,1452,1,0.8732782369146006,0.12672176308539945,1386,0.04338842975206612,0.002066115702479339,0.9545454545454546
155,Frederick,3429,Frederick Precinct 02-003,2866,243,6,563,3429,1,0.8358121901428988,0.16418780985710119,3180,0.07086614173228346,0.0017497812773403325,0.9273840769903762
156,Frederick,3603,Frederick Precinct 02-007,2732,228,14,871,3603,1,0.7582570080488482,0.24174299195115181,3361,0.06328059950041633,0.0038856508465167916,0.9328337496530669
157,Frederick,1560,Frederick Precinct 02-018,1056,86,3,504,1560,1,0.676923076923077,0.3230769230769231,1471,0.05512820512820513,0.0019230769230769232,0.9429487179487179
158,Frederick,1203,Frederick Precinct 09-008,1049,79,3,154,1203,1,0.8719866999168745,0.12801330008312553,1121,0.0656691604322527,0.0024937655860349127,0.9318370739817123
159,Frederick,584,Frederick Precinct 13-002,482,7,0,102,584,1,0.8253424657534246,0.17465753424657535,577,0.011986301369863013,0.0,0.988013698630137
160,Frederick,1787,Frederick Precinct 21-002,1398,117,10,389,1787,1,0.7823167319529939,0.21768326804700616,1660,0.06547285954113038,0.005595970900951315,0.9289311695579183
161,Frederick,3099,Frederick Precinct 21-003,2373,101,1,726,3099,1,0.7657308809293321,0.23426911907066797,2997,0.03259115843820587,0.00032268473701193933,0.9670861568247822
162,Frederick,4379,Frederick Precinct 02-010,2919,236,31,1460,4379,1,0.6665905457867093,0.3334094542132907,4112,0.05389358300981959,0.007079241836035624,0.9390271751541448
163,Frederick,2457,Frederick Precinct 20-001,2341,98,7,116,2457,1,0.9527879527879528,0.04721204721204721,2352,0.039886039886039885,0.002849002849002849,0.9572649572649573
165,Frederick,2373,Frederick Precinct 12-001,2028,131,7,345,2373,1,0.854614412136536,0.14538558786346398,2235,0.05520438263801096,0.0029498525073746312,0.9418457648546145
166,Frederick,1222,Frederick Precinct 22-001,1156,78,1,66,1222,1,0.9459901800327333,0.054009819967266774,1143,0.06382978723404255,0.0008183306055646482,0.9353518821603928
242,Frederick,3605,Frederick Precinct 25-001,3213,192,8,392,3605,1,0.8912621359223301,0.1087378640776699,3405,0.05325936199722608,0.002219140083217753,0.9445214979195562
352,Frederick,4356,Frederick Precinct 01-001,3809,265,14,547,4356,1,0.8744260789715336,0.12557392102846648,4077,0.0608356290174472,0.0032139577594123047,0.9359504132231405
356,Frederick,2131,Frederick Precinct 07-001,1866,154,12,265,2131,1,0.8756452369779446,0.12435476302205538,1965,0.07226654152979822,0.005631159080244017,0.9221022993899578
395,Frederick,5452,Frederick Precinct 05-001,4981,194,12,471,5452,1,0.9136096845194424,0.08639031548055759,5246,0.03558327219369039,0.0022010271460014674,0.9622157006603081
1397,Frederick,2241,Frederick Precinct 07-003,2023,135,2,218,2241,1,0.9027219991075413,0.09727800089245872,2104,0.060240963855421686,0.000892458723784025,0.9388665774207943
1795,Frederick,4416,Frederick Precinct 02-005,3731,256,6,685,4416,1,0.8448822463768116,0.15511775362318841,4154,0.057971014492753624,0.001358695652173913,0.9406702898550725
1796,Frederick,6484,Frederick Precinct 02-004,2621,130,23,3863,6484,1,0.4042257865515114,0.5957742134484886,6331,0.020049352251696483,0.0035471930906847624,0.9764034546576188
