race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDTurnout
WVAP,0.5924 (0.4718-0.7165),0.0399 (0.014-0.0788),0.3677 (0.2488-0.4853),0.027 (0.0204-0.0339)
OVAP,0.4417 (0.2731-0.5833),0.1859 (0.1252-0.2621),0.3724 (0.2328-0.5182),0.294 (0.208-0.3798)
