race,AG18D,AG18R,AG18Turnout
WVAP,0.2965 (0.271-0.3225),0.7035 (0.6775-0.729),0.4093 (0.3966-0.4227)
BVAP,0.5895 (0.2418-0.8632),0.4105 (0.1368-0.7582),0.6276 (0.3442-0.8798)
HVAP,0.53 (0.2403-0.8302),0.47 (0.1698-0.7597),0.6128 (0.3185-0.8803)
OVAP,0.5334 (0.2367-0.8468),0.4666 (0.1532-0.7633),0.661 (0.3885-0.888)
