race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.3068 (0.268-0.342),0.6932 (0.658-0.732),0.4036 (0.3819-0.4248)
OVAP,0.6014 (0.293-0.844),0.3986 (0.156-0.707),0.5388 (0.2916-0.7892)
