race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.0876 (0.0619-0.1162),0.9124 (0.8838-0.9381),0.4204 (0.4021-0.4367)
OVAP,0.6386 (0.4022-0.8689),0.3614 (0.1311-0.5978),0.565 (0.3722-0.779)
