race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.399 (0.3773-0.4215),0.601 (0.5785-0.6227),0.4036 (0.391-0.4169)
BVAP,0.5334 (0.2322-0.8272),0.4666 (0.1728-0.7678),0.5779 (0.3036-0.8398)
HVAP,0.535 (0.2278-0.8187),0.465 (0.1813-0.7722),0.5728 (0.2801-0.8284)
OVAP,0.5071 (0.2068-0.8044),0.4929 (0.1956-0.7932),0.6481 (0.3852-0.8752)
