race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9555 (0.9022-0.9877),0.0445 (0.0123-0.0978),0.0062 (0.0036-0.01)
OVAP,0.935 (0.9074-0.9577),0.065 (0.0423-0.0926),0.2072 (0.1546-0.2462)
