race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4758 (0.4436-0.5097),0.5242 (0.4903-0.5564),0.4142 (0.3937-0.4341)
OVAP,0.5668 (0.2333-0.8299),0.4332 (0.1701-0.7667),0.4983 (0.2683-0.7366)
