race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.2883 (0.2592-0.3142),0.7117 (0.6858-0.7408),0.5525 (0.5324-0.5742)
OVAP,0.6386 (0.3632-0.8743),0.3614 (0.1257-0.6368),0.5756 (0.3241-0.8084)
