race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.2478 (0.2141-0.2807),0.7522 (0.7193-0.7859),0.4995 (0.4799-0.5206)
OVAP,0.6145 (0.2996-0.8588),0.3855 (0.1412-0.7004),0.5969 (0.3524-0.8219)
