race,AG14D,AG14R,AG14Turnout
WVAP,0.255 (0.2208-0.2864),0.745 (0.7136-0.7792),0.3846 (0.3638-0.4048)
OVAP,0.5788 (0.285-0.8162),0.4212 (0.1838-0.715),0.4771 (0.2437-0.72)
