race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.4795 (0.4557-0.5045),0.5205 (0.4955-0.5443),0.4053 (0.3927-0.4183)
BVAP,0.5364 (0.2191-0.8312),0.4636 (0.1688-0.7809),0.5875 (0.3076-0.8386)
HVAP,0.5381 (0.1721-0.8522),0.4619 (0.1478-0.8279),0.563 (0.2776-0.826)
OVAP,0.5018 (0.2004-0.8282),0.4982 (0.1718-0.7996),0.6559 (0.357-0.8811)
