race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.2502 (0.2163-0.2801),0.7498 (0.7199-0.7837),0.4811 (0.4603-0.505)
OVAP,0.6039 (0.3101-0.8495),0.3961 (0.1505-0.6899),0.551 (0.2706-0.7964)
