race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4 (0.3671-0.4297),0.6 (0.5703-0.6329),0.414 (0.3927-0.434)
OVAP,0.5468 (0.2496-0.8085),0.4532 (0.1915-0.7504),0.4784 (0.2475-0.7259)
