race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.1847 (0.0951-0.2936),0.4831 (0.3581-0.6016),0.3322 (0.2216-0.4518),0.0262 (0.0199-0.0329)
OVAP,0.3528 (0.2289-0.4868),0.2921 (0.1397-0.4338),0.3552 (0.2123-0.4944),0.3054 (0.2195-0.39)
