race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.8886 (0.8143-0.9425),0.1114 (0.0575-0.1857),0.0554 (0.0444-0.067)
OVAP,0.6111 (0.4077-0.7686),0.3889 (0.2314-0.5923),0.3799 (0.2448-0.5141)
