race,SEN18D,SEN18R,SEN18Turnout
WVAP,0.3249 (0.2877-0.3597),0.6751 (0.6403-0.7123),0.3862 (0.3655-0.4069)
OVAP,0.6222 (0.3263-0.868),0.3778 (0.132-0.6737),0.5332 (0.2858-0.7735)
